name,date,id
Big Bang,2022.09.24,bang
MISTI Armenia,2022.10.29,armenia
Fall in New England,2022.11.12,fall
Night at the Art Gallery,2022.12.03,art
MISTI India,2023.03.04,india
Romance Through Films,2023.03.18,datamatch
High Tea,2023.10.14,tea
Alice in Wonderland,2023.10.28,alice
Planet Earth,2023.11.18,earth
Year of the Dragon,2024.02.24,lny
MISTI Japan,2024.03.16,japan
MISTI Italy,2024.04.20,italy
Garden Soirée,2024.10.05,garden
Supperclub 1,2024.10.26,supper
MISTI Brazil,2024.11.16,brazil
Studio Ghibli,2025.03.01,ghibli
Seven Wonders of the World,2025.03.15,swotw
MISTI Africa,2025.04.26,africa
Untitled,2025.10.04,untitled
Are you up yet?,2025.11.15,ayuy
Entropy,2026.03.07,entropy
